Acccession,DB_Name,Genome_Name
AM712239,ASFV_DB,Benin_1997
AM712240,ASFV_DB,Portugal_OURT_88.3_1988
AY261360,ASFV_DB,Kenya_1950
AY261361,ASFV_DB,Malawi_Lil_1983
AY261362,ASFV_DB,South_Africa_MGR_Mkuzi_1979
AY261363,ASFV_DB,South_Africa_KNP_Pretorisuskop_1996
AY261364,ASFV_DB,Malawi_Tengani_1962
AY261365,ASFV_DB,South_Africa_Warmbaths_1987
AY261366,ASFV_DB,Namibia_Warthog_1980
FN557520,ASFV_DB,Spain_E75_1975
FR682468,ASFV_DB,Russia_Georgia_2007
KJ747406,ASFV_DB,Russia_Kashino_2013
KM102979,ASFV_DB,Italy_26544_OG10_2010
KM111294,ASFV_DB,Kenya_Tk1_2005
KM111295,ASFV_DB,Kenya_Bus_2006
KM262844,ASFV_DB,Portugal_L60_1960
KM262845,ASFV_DB,Portugal_NHV_1968
KP055815,ASFV_DB,Spain_BA71_1971
KP843857,ASFV_DB,Russia_Odintsovo_2014
KX354450,ASFV_DB,Italy_47_Ss_2008_2008
LS478113,ASFV_DB,Estonia_2014
MG939583,ASFV_DB,Poland_Pol16_20186_o7_2016-2017
MG939584,ASFV_DB,Poland_Pol16_20538_o9_2016-2017
MG939585,ASFV_DB,Poland_Pol16_20540_o10_2016-2017
MG939586,ASFV_DB,Poland_Pol16_29413_o23_2016-2017
MG939587,ASFV_DB,Poland_Pol17_03029_C201_2016-2017
MG939588,ASFV_DB,Poland_Pol17_04461_C210_2016-2017
MG939589,ASFV_DB,Poland_Pol17_05838_C220_2016-2017
MH025916,ASFV_DB,Uganda_R8_2015
MH025917,ASFV_DB,Uganda_R7_2015
MH025918,ASFV_DB,Uganda_R25_2015
MH025919,ASFV_DB,Uganda_N10_2015
MH025920,ASFV_DB,Uganda_R35_2015
MH681419,ASFV_DB,Poland_ASFV_POL_Podlaskie_2015
MH766894,ASFV_DB,China_ASFV-SY18_2018
MK128995,ASFV_DB,China_AnhuiXCGQ_2018
MK333180,ASFV_DB,China_HLJ_2018
MK333181,ASFV_DB,China_LN_2018
MK543947,ASFV_DB,Belgium_Etalle_wb_2018
MK628478,ASFV_DB,Lithuania_LT14_2014
MK645909,ASFV_DB,China_wbBS01_2018
MN194591,ASFV_DB,Ukraine_Kyiv_2014
MN318203,ASFV_DB,Zambia_LIV_1983
MN336500,ASFV_DB,South_Africa_2_2008
MN394630,ASFV_DB,South_Africa_1985
